id,player_name,14-15_games,14-15_mins_played,14-15_goals,14-15_goals_per_90,14-15_npg,14-15_npg_per_90,14-15_xG,14-15_xG_per_90,14-15_npxG,14-15_npxG_per_90,14-15_assists,14-15_assists_per_90,14-15_xA,14-15_xA_per_90,14-15_xGChain,14-15_xGChain_per_90,14-15_xGBuildup,14-15_xGBuildup_per_90,14-15_shots,14-15_shots_per_90,14-15_key_passes,14-15_key_passes_per_90,14-15_yellow_cards,14-15_red_cards,14-15_team,14-15_league
1208,Felipe Anderson,32,2095,10,0.42959427207637235,10,0.42959427207637235,6.354090019129217,0.2729680676475559,6.354090019129217,0.2729680676475559,7,0.3007159904534606,8.058041353709996,0.34616884097083517,20.190953455865383,0.8673917952400403,8.09505034610629,0.3477587260857118,65,2.79236276849642,35,1.503579952267303,5,0,Lazio,Serie_A
1315,Massimo Maccarone,34,2507,10,0.35899481451934584,9,0.32309533306741123,8.975992960855365,0.32223349281092256,8.214694125577807,0.29490325939449646,7,0.25129637016354206,7.552496573887765,0.2711307106700833,14.702128004282711,0.5277987715937152,3.10627653170377,0.11151371673447918,87,3.1232548863183087,50,1.7949740725967291,4,0,Empoli,Serie_A
1517,Antonio Candreva,34,2656,10,0.338855421686747,8,0.27108433734939763,10.51412931457162,0.3562769722558155,8.230272803455591,0.278887256141191,9,0.3049698795180723,8.076554521918297,0.27367842883006277,18.70710145868361,0.6339002753318994,7.250304103828967,0.24568048544601165,117,3.9646084337349397,58,1.9653614457831325,6,0,Lazio,Serie_A
1836,Franco Vázquez,37,3231,10,0.2785515320334262,9,0.25069637883008355,9.117931227199731,0.2539813712311903,7.5953335938975215,0.21156918088851034,10,0.2785515320334262,9.239036513492463,0.257354777534609,24.593129739165303,0.685045396634131,13.665066208690403,0.3806425127768915,99,2.7576601671309193,68,1.8941504178272979,7,0,Palermo,Serie_A
716,Alberto Paloschi,37,2642,9,0.3065859197577593,9,0.3065859197577593,9.923600168898702,0.338048453898896,9.162301318719985,0.31211473076638857,3,0.10219530658591976,2.1521526761353016,0.07331330085245161,9.964204888790846,0.33943165783163365,1.4591961354017258,0.04970766547545622,79,2.6911430734292203,26,0.8856926570779713,2,0,Chievo,Serie_A
1101,Luca Rigoni,31,2704,9,0.2995562130177515,9,0.2995562130177515,5.997137866914272,0.19960887870646618,5.997137866914272,0.19960887870646618,1,0.03328402366863905,1.8997528227046128,0.06323141791546417,10.247754727490246,0.3410865109001931,4.148251068778336,0.13807048675667538,30,0.9985207100591715,23,0.7655325443786982,11,0,Palermo,Serie_A
1188,Maxi López,31,1573,9,0.5149396058486967,9,0.5149396058486967,9.392880426719785,0.5374184605243361,9.392880426719785,0.5374184605243361,2,0.11443102352193261,1.8227788414806128,0.10429122424237454,10.834513742476702,0.6199022484570268,1.967516493052244,0.11257246304812585,52,2.975206611570248,20,1.1443102352193262,3,0,"Chievo,Torino",Serie_A
1468,Gregoire Defrel,34,2708,9,0.29911373707533234,9,0.29911373707533234,4.01127125043422,0.1333140371266912,4.01127125043422,0.1333140371266912,5,0.16617429837518463,3.624197428114712,0.12044969295802217,9.58839443232864,0.3186689434673477,2.857315863482654,0.09496249177010298,56,1.861152141802068,41,1.3626292466765142,7,0,Cesena,Serie_A
1494,Mauricio Pinilla,26,1648,9,0.49150485436893204,8,0.4368932038834951,8.122705548070371,0.4435943563873382,6.600107877515256,0.3604427845730419,2,0.10922330097087378,1.7165909251198173,0.09374586362911624,7.158051632344723,0.390913013902321,1.951383087784052,0.10656825115325527,65,3.5497572815533984,13,0.7099514563106796,8,1,"Atalanta,Genoa",Serie_A
1514,Éder,30,2373,9,0.3413400758533502,8,0.3034134007585335,7.370070978999138,0.27952228744623786,6.608772180974484,0.25064875528348235,4,0.15170670037926676,4.413826843723655,0.1674017766266873,10.313982868567107,0.3911750771896501,2.9964037723839283,0.11364363232808831,83,3.147914032869785,34,1.2895069532237673,5,0,Sampdoria,Serie_A
1879,Stefano Mauri,29,1898,9,0.4267650158061117,9,0.4267650158061117,7.055956742726266,0.33458172120409063,7.055956742726266,0.33458172120409063,2,0.09483667017913593,1.9690094459801912,0.09336714970401327,11.463569074869156,0.5435833597145543,4.800602121278644,0.2276365600184815,43,2.0389884088514227,23,1.0906217070600632,5,0,Lazio,Serie_A
1187,Adem Ljajic,32,2024,8,0.3557312252964427,7,0.31126482213438733,6.610197981819511,0.29393172844059096,5.0876003708690405,0.226227289218485,2,0.08893280632411067,3.239166914485395,0.1440341019286984,10.48856458440423,0.4663887414013738,4.281851134262979,0.19039851881604158,50,2.2233201581027666,44,1.9565217391304348,2,0,Roma,Serie_A
1213,Filip Djordjevic,24,1485,8,0.48484848484848486,8,0.48484848484848486,5.864980418235064,0.35545335868091305,5.864980418235064,0.35545335868091305,2,0.12121212121212122,1.561488078907132,0.09463564114588678,7.369786955416202,0.44665375487370923,0.4915447710081935,0.029790592182314758,34,2.0606060606060606,16,0.9696969696969697,2,0,Lazio,Serie_A
