Year,Home_Team,Home_Score,Home_Team_wkts_lost,Away_Team,Away_Score,Away_Team_wkts_lost,Result,Winner,Bat_First_Win,Bat_Second_Win,Home_Team_Win,Away_Team_Win
2021,GREAT CHISHILL CC,89,10,BIRCHANGER CC,205,7,BIRCHANGER CC WON  BY 116 RUNS,BIRCHANGER CC,True,False,False,True
2021,LITTLE SHELFORD CC,223,6,GREAT CHISHILL CC,178,10,LITTLE SHELFORD CC WON  BY 45 RUNS,LITTLE SHELFORD CC,True,False,True,False
2021,GREAT CHISHILL CC,198,3,ASHWELL CC,197,8,GREAT CHISHILL CC WON  BY 7 WICKETS,GREAT CHISHILL CC,False,True,True,False
2021,ASHWELL CC,212,3,GREAT CHISHILL CC,217,2,GREAT CHISHILL CC WON  BY 8 WICKETS,GREAT CHISHILL CC,False,True,False,True
2021,BIRCHANGER CC,,,GREAT CHISHILL CC,,,CANCELLED,,,,False,False
2021,GREAT CHISHILL CC,257,10,AUDLEY END & LITTLEBURY CC,204,9,GREAT CHISHILL CC WON  BY 53 RUNS,GREAT CHISHILL CC,True,False,True,False
2021,GREAT CHISHILL CC,231,3,LINTON VILLAGE CC,231,7,TIED,,True,True,False,False
2021,LINTON VILLAGE CC,,,GREAT CHISHILL CC,,,CANCELLED,,,,False,False
2021,LINTON VILLAGE CC,249,4,ASHWELL CC,167,7,LINTON VILLAGE CC WON  BY 6 WICKETS,LINTON VILLAGE CC,False,True,True,False
2021,BIRCHANGER CC,43,7,LINTON VILLAGE CC,,,ABANDONED,,,,False,False
2021,LINTON VILLAGE CC,,,LITTLE SHELFORD CC,,,CANCELLED,,,,False,False
2021,LINTON VILLAGE CC,139,10,BIRCHANGER CC,150,7,BIRCHANGER CC WON  BY 11 RUNS,BIRCHANGER CC,True,False,False,True
2021,AUDLEY END & LITTLEBURY CC,201,8,LINTON VILLAGE CC,201,10,TIED,,True,True,False,False
2021,LINTON VILLAGE CC,192,5,AUDLEY END & LITTLEBURY CC,191,8,LINTON VILLAGE CC WON  BY 5 WICKETS,LINTON VILLAGE CC,False,True,True,False
2021,LITTLE SHELFORD CC,183,10,LINTON VILLAGE CC,249,5,LINTON VILLAGE CC WON  BY 66 RUNS,LINTON VILLAGE CC,True,False,False,True
2021,ASHWELL CC,230,5,LINTON VILLAGE CC,234,7,LINTON VILLAGE CC WON  BY 3 WICKETS,LINTON VILLAGE CC,False,True,False,True
2021,ELMDON CC,222,6,ICKLETON CC,182,10,ELMDON CC WON  BY 40 RUNS,ELMDON CC,True,False,True,False
2021,ICKLETON CC,191,6,ELMDON CC,192,8,ELMDON CC WON  BY 2 WICKETS,ELMDON CC,False,True,False,True
2021,AUDLEY END & LITTLEBURY CC,66,3,BIRCHANGER CC,62,10,AUDLEY END & LITTLEBURY CC WON  BY 7 WICKETS,AUDLEY END & LITTLEBURY CC,False,True,True,False
2021,BIRCHANGER CC,43,7,LINTON VILLAGE CC,,,ABANDONED,,,,False,False
2021,BIRCHANGER CC,265,9,ASHWELL CC,182,10,BIRCHANGER CC WON  BY 83 RUNS,BIRCHANGER CC,True,False,True,False
2021,GREAT CHISHILL CC,89,10,BIRCHANGER CC,205,7,BIRCHANGER CC WON  BY 116 RUNS,BIRCHANGER CC,True,False,False,True
2021,LINTON VILLAGE CC,139,10,BIRCHANGER CC,150,7,BIRCHANGER CC WON  BY 11 RUNS,BIRCHANGER CC,True,False,False,True
2021,ASHWELL CC,141,10,BIRCHANGER CC,184,5,BIRCHANGER CC WON  BY 5 WICKETS,BIRCHANGER CC,False,True,False,True
2021,LITTLE SHELFORD CC,228,7,BIRCHANGER CC,224,6,LITTLE SHELFORD CC WON  BY 4 RUNS,LITTLE SHELFORD CC,True,False,True,False
2021,BIRCHANGER CC,159,6,LITTLE SHELFORD CC,158,8,BIRCHANGER CC WON  BY 4 WICKETS,BIRCHANGER CC,False,True,True,False
2021,BIRCHANGER CC,,,AUDLEY END & LITTLEBURY CC,,,CANCELLED,,,,False,False
2021,BIRCHANGER CC,,,GREAT CHISHILL CC,,,CANCELLED,,,,False,False
2021,ELMDON CC,222,6,ICKLETON CC,182,10,ELMDON CC WON  BY 40 RUNS,ELMDON CC,True,False,True,False
2021,ICKLETON CC,191,6,ELMDON CC,192,8,ELMDON CC WON  BY 2 WICKETS,ELMDON CC,False,True,False,True
2021,GREAT CHISHILL CC,146,7,LITTLE SHELFORD CC,142,10,GREAT CHISHILL CC WON  BY 3 WICKETS,GREAT CHISHILL CC,False,True,True,False
2021,ASHWELL CC,134,6,LITTLE SHELFORD CC,148,6,LITTLE SHELFORD CC WON  BY 14 RUNS,LITTLE SHELFORD CC,True,False,False,True
2021,LINTON VILLAGE CC,,,LITTLE SHELFORD CC,,,CANCELLED,,,,False,False
2021,AUDLEY END & LITTLEBURY CC,219,9,LITTLE SHELFORD CC,163,9,AUDLEY END & LITTLEBURY CC WON  BY 56 RUNS,AUDLEY END & LITTLEBURY CC,True,False,True,False
2021,LITTLE SHELFORD CC,223,6,GREAT CHISHILL CC,178,10,LITTLE SHELFORD CC WON  BY 45 RUNS,LITTLE SHELFORD CC,True,False,True,False
2021,LITTLE SHELFORD CC,228,7,BIRCHANGER CC,224,6,LITTLE SHELFORD CC WON  BY 4 RUNS,LITTLE SHELFORD CC,True,False,True,False
2021,LITTLE SHELFORD CC,210,6,ASHWELL CC,207,6,LITTLE SHELFORD CC WON  BY 4 WICKETS,LITTLE SHELFORD CC,False,True,True,False
2021,BIRCHANGER CC,159,6,LITTLE SHELFORD CC,158,8,BIRCHANGER CC WON  BY 4 WICKETS,BIRCHANGER CC,False,True,True,False
2021,LITTLE SHELFORD CC,183,10,LINTON VILLAGE CC,249,5,LINTON VILLAGE CC WON  BY 66 RUNS,LINTON VILLAGE CC,True,False,False,True
2021,LITTLE SHELFORD CC,158,6,AUDLEY END & LITTLEBURY CC,163,8,AUDLEY END & LITTLEBURY CC WON  BY 5 RUNS,AUDLEY END & LITTLEBURY CC,True,False,False,True
2021,ASHWELL CC,134,6,LITTLE SHELFORD CC,148,6,LITTLE SHELFORD CC WON  BY 14 RUNS,LITTLE SHELFORD CC,True,False,False,True
2021,LINTON VILLAGE CC,249,4,ASHWELL CC,167,7,LINTON VILLAGE CC WON  BY 6 WICKETS,LINTON VILLAGE CC,False,True,True,False
2021,BIRCHANGER CC,265,9,ASHWELL CC,182,10,BIRCHANGER CC WON  BY 83 RUNS,BIRCHANGER CC,True,False,True,False
2021,AUDLEY END & LITTLEBURY CC,239,10,ASHWELL CC,240,3,ASHWELL CC WON  BY 4 WICKETS,ASHWELL CC,False,True,False,True
2021,ASHWELL CC,141,10,BIRCHANGER CC,184,5,BIRCHANGER CC WON  BY 5 WICKETS,BIRCHANGER CC,False,True,False,True
2021,GREAT CHISHILL CC,198,3,ASHWELL CC,197,8,GREAT CHISHILL CC WON  BY 7 WICKETS,GREAT CHISHILL CC,False,True,True,False
2021,LITTLE SHELFORD CC,210,6,ASHWELL CC,207,6,LITTLE SHELFORD CC WON  BY 4 WICKETS,LITTLE SHELFORD CC,False,True,True,False
2021,ASHWELL CC,212,3,GREAT CHISHILL CC,217,2,GREAT CHISHILL CC WON  BY 8 WICKETS,GREAT CHISHILL CC,False,True,False,True
2021,ASHWELL CC,193,4,AUDLEY END & LITTLEBURY CC,114,10,ASHWELL CC WON  BY 6 WICKETS,ASHWELL CC,False,True,True,False
2021,ASHWELL CC,230,5,LINTON VILLAGE CC,234,7,LINTON VILLAGE CC WON  BY 3 WICKETS,LINTON VILLAGE CC,False,True,False,True
