id,player_name,15-16_games,15-16_mins_played,15-16_goals,15-16_goals_per_90,15-16_npg,15-16_npg_per_90,15-16_xG,15-16_xG_per_90,15-16_npxG,15-16_npxG_per_90,15-16_assists,15-16_assists_per_90,15-16_xA,15-16_xA_per_90,15-16_xGChain,15-16_xGChain_per_90,15-16_xGBuildup,15-16_xGBuildup_per_90,15-16_shots,15-16_shots_per_90,15-16_key_passes,15-16_key_passes_per_90,15-16_yellow_cards,15-16_red_cards,15-16_team,15-16_league,15-16_transferred
3455,Raphael Guerreiro,34,2504,3,0.1078274760383386,3,0.1078274760383386,3.031347755342722,0.108954192484363,3.031347755342722,0.108954192484363,2,0.0718849840255591,2.4611616171896458,0.0884602817679984,9.030573174357414,0.3245813041901626,6.511700503528118,0.234046743337672,39,1.4017571884984026,23,0.8266773162939297,3,0,Lorient,Ligue1,No
1901,Raphael Martinho,11,693,0,0.0,0,0.0,0.5967803336679935,0.0775039394374017,0.5967803336679935,0.0775039394374017,0,0.0,0.1284074820578098,0.0166762963711441,1.501099333167076,0.1949479653463735,0.889649698510766,0.115538921884515,10,1.2987012987012987,5,0.6493506493506493,3,0,Carpi,Serie_A,No
2245,Raphael Varane,26,2182,0,0.0,0,0.0,0.67161107622087,0.0277016484234089,0.67161107622087,0.0277016484234089,0,0.0,0.0187594145536422,0.0007737613702235,8.391678331419826,0.3461278871804694,8.372918901965022,0.3453541251956242,12,0.4949587534372135,1,0.0412465627864344,4,1,Real Madrid,LaLiga,No
2169,Razvan Rat,10,733,0,0.0,0,0.0,0.226872144266963,0.0278560613697498,0.226872144266963,0.0278560613697498,0,0.0,0.9467274406924844,0.1162421141368671,1.9779747473075984,0.2428618380050257,1.3628793833777308,0.1673385327476068,8,0.9822646657571624,11,1.3506139154160983,3,0,Rayo Vallecano,LaLiga,No
2333,Raúl Albentosa,29,2555,2,0.0704500978473581,2,0.0704500978473581,2.1056336928159,0.074171049844787,2.1056336928159,0.074171049844787,0,0.0,0.5024306550621986,0.017698144405322,3.4192734360694885,0.1204440740689839,2.690024569630623,0.0947562470711373,17,0.598825831702544,10,0.3522504892367906,11,0,Malaga,LaLiga,No
1588,Raúl Albiol,36,3240,1,0.0277777777777777,1,0.0277777777777777,1.2352195493876934,0.0343116541496581,1.2352195493876934,0.0343116541496581,1,0.0277777777777777,0.2277325168251991,0.0063259032451444,13.968829909339547,0.3880230530372096,13.769504288211465,0.3824862302280962,10,0.2777777777777778,5,0.1388888888888889,10,0,Napoli,Serie_A,No
2488,Raúl Baena,24,1838,1,0.0489662676822633,1,0.0489662676822633,1.407056009396911,0.0688982812000663,1.407056009396911,0.0688982812000663,1,0.0489662676822633,0.6569028962403536,0.0321660830585592,2.389975734986365,0.1170281915934563,0.9886241955682636,0.0484092369973578,10,0.4896626768226333,11,0.5386289445048966,10,1,Rayo Vallecano,LaLiga,No
273,Raúl Bobadilla,27,1818,4,0.198019801980198,4,0.198019801980198,5.607041492126882,0.2775763114914298,5.607041492126882,0.2775763114914298,2,0.099009900990099,2.691964806988836,0.1332655845043978,8.754789289087057,0.4334054103508444,3.091454479843378,0.1530423009823454,61,3.01980198019802,29,1.4356435643564356,2,1,Augsburg,Bundesliga,No
2400,Raúl García,31,2384,7,0.2642617449664429,7,0.2642617449664429,5.793117111548781,0.21869989095612,5.793117111548781,0.21869989095612,6,0.2265100671140939,4.718370173126459,0.1781263907640022,11.764333825558424,0.4441233407299741,3.495991446077824,0.1319795428468977,78,2.9446308724832218,24,0.9060402684563758,10,0,"Athletic Club,Atletico Madrid",LaLiga,Yes
2351,Raúl Lizoain,8,708,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.6553953532129526,0.0833129686287651,0.6553953532129526,0.0833129686287651,0,0.0,0,0.0,0,0,Las Palmas,LaLiga,No
